lrc_pct,orc_pct,alpha,iterations,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,V_mean,E_mean,n_runs,ARI,NMI,Runtime
2,5,0.5,5,0.6077870208537214,0.0,0.7757591281743704,0.0,1.8346812090118572,0.000932808411885001,244.0,893.0,6,0.608 ± 0.000,0.776 ± 0.000,1.83 ± 0.00
2,10,0.5,5,-0.0001764524346119477,0.0012366899737058787,0.027422419151824095,0.0003286790498239492,1.2821383194823284,0.000589709489616851,96.0,280.0,6,-0.000 ± 0.001,0.027 ± 0.000,1.28 ± 0.00
5,0,0.5,5,0.6050582815914066,0.0,0.7716989678268259,7.021666937153402e-17,1.2459218951601845,0.0010208054310534493,244.0,919.0,6,0.605 ± 0.000,0.772 ± 0.000,1.25 ± 0.00
5,2,0.5,5,0.6640908287905364,0.05488820018024251,0.7935214982471835,0.021516188759919497,1.2619703403518845,0.0015202746633229329,244.0,900.0,6,0.664 ± 0.055,0.794 ± 0.022,1.26 ± 0.00
5,5,0.5,5,0.5600046086465871,0.009786913170872626,0.7175615863575032,0.012861198490059221,1.2463188678278432,0.0011313901017198599,177.0,629.0,6,0.560 ± 0.010,0.718 ± 0.013,1.25 ± 0.00
5,10,0.5,5,0.044248185624968316,0.0504108174273867,0.14840870213813026,0.06870455876843898,1.296323082826954,0.0004592321815625964,49.0,187.0,6,0.044 ± 0.050,0.148 ± 0.069,1.30 ± 0.00
10,0,0.5,5,0.6486311906531572,0.013940082467747902,0.75991936310138,0.012123126310200637,0.8714792429624746,0.0012792508773090516,147.0,556.0,6,0.649 ± 0.014,0.760 ± 0.012,0.87 ± 0.00
10,2,0.5,5,0.6565151294399804,0.013956418651991227,0.7617351344360571,0.012130429235952133,0.8729683128282583,0.0009865472735898467,147.0,544.0,6,0.657 ± 0.014,0.762 ± 0.012,0.87 ± 0.00
10,5,0.5,5,0.6000475468665895,0.10463036048945525,0.6626524658187726,0.040293809703990824,0.8592577639598554,0.00028711735842146507,81.0,319.0,6,0.600 ± 0.105,0.663 ± 0.040,0.86 ± 0.00
10,10,0.5,5,-0.02155759921039026,0.0,0.08912248972531363,0.0,0.9047268126741983,9.809450093674558e-05,46.0,164.0,6,-0.022 ± 0.000,0.089 ± 0.000,0.90 ± 0.00
15,0,0.5,5,0.5323400293404719,0.0004999278128621199,0.6436829627820885,0.00022903466416159186,0.6107089581394879,0.00026818607843002935,81.0,321.0,6,0.532 ± 0.000,0.644 ± 0.000,0.61 ± 0.00
15,2,0.5,5,0.527483214196618,0.012942102083783517,0.6425013622576152,0.0149363521036752,0.6019691043184139,0.0003919465727827102,81.0,314.0,6,0.527 ± 0.013,0.643 ± 0.015,0.60 ± 0.00
15,5,0.5,5,0.5570431372190215,0.0683789026859657,0.6442671439760503,0.03548157980539714,0.6044252918412288,0.0002742738059477878,81.0,304.0,6,0.557 ± 0.068,0.644 ± 0.035,0.60 ± 0.00
15,10,0.5,5,-0.02643131749319803,0.01182087534650136,0.08438213825885967,0.014428867305060282,0.5931797641581701,0.0002276360208186983,46.0,166.0,6,-0.026 ± 0.012,0.084 ± 0.014,0.59 ± 0.00
20,0,0.5,5,0.02219919145478647,0.001634050062844344,0.0627884619609848,0.0011592693052284526,0.42180647879528504,0.00043907984410643665,64.0,187.0,6,0.022 ± 0.002,0.063 ± 0.001,0.42 ± 0.00
20,2,0.5,5,0.010759677407732142,0.013122417956653492,0.04610418667884933,0.018500990576313738,0.41900374355221476,0.0004368812508918432,64.0,183.0,6,0.011 ± 0.013,0.046 ± 0.019,0.42 ± 0.00
20,5,0.5,5,0.020777812798566084,0.0017262182100797531,0.056653288926841176,0.004399780106695788,0.41962350020185113,0.00039915392235226647,64.0,176.0,6,0.021 ± 0.002,0.057 ± 0.004,0.42 ± 0.00
20,10,0.5,5,0.025483620482219856,0.006621549881431093,0.062204550235050345,0.007124941512356676,0.4098527293050817,0.0004905191777022568,64.0,168.0,6,0.025 ± 0.007,0.062 ± 0.007,0.41 ± 0.00
0,0,0.75,5,0.5153181043761436,0.0,0.7433234872352598,0.0,1.6494418200163636,0.00141302039658615,298.0,1159.0,6,0.515 ± 0.000,0.743 ± 0.000,1.65 ± 0.00
0,2,0.75,5,-0.0025215679058092095,0.000625986069829385,0.03315391426418816,0.0008569732978708345,1.6669063131460764,0.000645253571321372,152.0,528.0,6,-0.003 ± 0.001,0.033 ± 0.001,1.67 ± 0.00
0,5,0.75,5,0.03182011879650144,0.001676524097245324,0.0882457655659451,0.0014072571390933047,1.6495903678393613,0.0002986596075510874,98.0,328.0,6,0.032 ± 0.002,0.088 ± 0.001,1.65 ± 0.00
0,10,0.75,5,0.0006366054804736195,0.008371172677172021,0.02904566819639943,0.007334488674164589,1.698100083837441,0.0005853035763572815,67.0,263.0,6,0.001 ± 0.008,0.029 ± 0.007,1.70 ± 0.00
2,0,0.75,5,0.709427159277351,0.0,0.8091283724394892,9.930136612989092e-17,1.5013476592042327,0.0015970910464533166,244.0,941.0,6,0.709 ± 0.000,0.809 ± 0.000,1.50 ± 0.00
2,2,0.75,5,0.037338899487266486,0.007687597161738483,0.0943206052519016,0.007938195421542607,1.4493638895413217,0.0008998233786398537,98.0,328.0,6,0.037 ± 0.008,0.094 ± 0.008,1.45 ± 0.00
2,5,0.75,5,0.009453178871088075,0.006686635324941328,0.03852166451940756,0.006989948071913247,1.4097766950241446,0.000338911165631705,67.0,255.0,6,0.009 ± 0.007,0.039 ± 0.007,1.41 ± 0.00
2,10,0.75,5,-0.008025428699861859,0.024207456540996417,0.04623727726226986,0.02578227498025966,1.3939193270149797,0.00035141276129439867,46.0,196.0,6,-0.008 ± 0.024,0.046 ± 0.026,1.39 ± 0.00
5,0,0.75,5,0.7007353274363957,0.0011810994121566663,0.7965091941204331,0.0005601589923231222,1.355556104943389,0.00131630872565966,244.0,919.0,6,0.701 ± 0.001,0.797 ± 0.001,1.36 ± 0.00
5,2,0.75,5,0.2777128331418957,0.0445127892122037,0.5088996215909424,0.023238810889056275,1.3580751804984175,0.0008439989945150445,128.0,450.0,6,0.278 ± 0.045,0.509 ± 0.023,1.36 ± 0.00
5,5,0.75,5,0.1006015276332269,0.0,0.1920775482644713,0.0,1.4397919095451168,0.00024159996221445604,53.0,176.0,6,0.101 ± 0.000,0.192 ± 0.000,1.44 ± 0.00
5,10,0.75,5,0.025829208816121118,0.011312852945205702,0.08436878830916598,0.00839851060832134,1.387348014463593,0.0006883290963600928,46.0,190.0,6,0.026 ± 0.011,0.084 ± 0.008,1.39 ± 0.00
10,0,0.75,5,0.6536952827074188,0.0071875607508667455,0.7649170809965001,0.006295170128250247,0.9558666598071189,0.0004934884627332658,147.0,556.0,6,0.654 ± 0.007,0.765 ± 0.006,0.96 ± 0.00
10,2,0.75,5,-3.3647093766853445e-05,0.007081061987089598,0.026960267159981805,0.004718885685049593,0.9502926661807578,0.00035333664022340017,66.0,220.0,6,-0.000 ± 0.007,0.027 ± 0.005,0.95 ± 0.00
10,5,0.75,5,0.02590929112685669,0.012541483326245445,0.08370299152948868,0.008531938256000923,0.9401288753239593,0.0002809546305739793,46.0,188.0,6,0.026 ± 0.013,0.084 ± 0.009,0.94 ± 0.00
10,10,0.75,5,0.01811730353413704,0.0,0.0781679395301071,0.0,0.9399321731859042,0.00014969222297682653,46.0,168.0,6,0.018 ± 0.000,0.078 ± 0.000,0.94 ± 0.00
15,0,0.75,5,0.530340141078807,0.00877114554574876,0.6528457211955793,0.022598985538646796,0.6264999853059029,0.00024728851054659775,81.0,321.0,6,0.530 ± 0.009,0.653 ± 0.023,0.63 ± 0.00
15,2,0.75,5,0.03782303537282647,0.04394566840048918,0.08396239963241053,0.04939134805081682,0.6535284795293895,0.0002686954587915348,46.0,183.0,6,0.038 ± 0.044,0.084 ± 0.049,0.65 ± 0.00
15,5,0.75,5,0.03147648128875561,0.0074106468642106795,0.09442031858161398,0.013994589173637018,0.6279636943363585,0.0001614343482243606,46.0,173.0,6,0.031 ± 0.007,0.094 ± 0.014,0.63 ± 0.00
15,10,0.75,5,-0.0012451002997463684,0.00259802924067388,0.07219054048750125,0.01714326551757212,0.6523556101407545,0.00021883740821538195,46.0,159.0,6,-0.001 ± 0.003,0.072 ± 0.017,0.65 ± 0.00
20,0,0.75,5,0.0002948810569208448,0.009124628693887783,0.031246332169841535,0.009418733524301273,0.48507964503369294,0.00030370639744928317,64.0,187.0,6,0.000 ± 0.009,0.031 ± 0.009,0.49 ± 0.00
20,2,0.75,5,-0.007421251636799686,0.0018993400947782155,0.022937525273530508,0.001742414438835925,0.4631763188323627,0.0004297860551109361,64.0,183.0,6,-0.007 ± 0.002,0.023 ± 0.002,0.46 ± 0.00
20,5,0.75,5,-0.012824823361067265,0.012738337225181815,0.03416700975592624,0.011247186828100098,0.466287672839826,0.00040509487700439423,42.0,134.0,6,-0.013 ± 0.013,0.034 ± 0.011,0.47 ± 0.00
20,10,0.75,5,0.0007964120013037963,0.0068081645772193515,0.04603241597374127,0.006877953028700412,0.4631084931897931,0.0005723042818815631,42.0,129.0,6,0.001 ± 0.007,0.046 ± 0.007,0.46 ± 0.00
