method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc,lrc_pct,orc_pct,status,error
LRC→ORC combo,louvain,0,0.6467259982960468,0.765139692519803,147,147,528,1,0.774495542049408,0.766635584004689,0.007859958044718951,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,1,0.6197899786343257,0.7416705636441691,147,147,528,1,0.7722815420129336,0.766635584004689,0.005645958008244634,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,2,0.6467259982960468,0.765139692519803,147,147,528,1,0.7735080840066075,0.766635584004689,0.0068725000019185245,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,3,0.6467259982960468,0.765139692519803,147,147,528,1,0.7735554180108011,0.766635584004689,0.006919834006112069,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,4,0.6467259982960468,0.7651396925198028,147,147,528,1,0.7723646250087768,0.766635584004689,0.005729041004087776,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,42,0.6467259982960468,0.7651396925198028,147,147,528,1,0.7726781680248678,0.766635584004689,0.006042584020178765,116,28,10,5,0.25,5,-1.1903386372909015,-0.12376934520324251,10,5,ok,
LRC→ORC combo,louvain,0,0.13639519291427193,0.3467403965210799,51,51,171,1,0.7642344999476336,0.7619074579561129,0.002327041991520673,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
LRC→ORC combo,louvain,1,0.265684098494825,0.39247011369261553,51,51,171,1,0.7639072079327889,0.7619074579561129,0.0019997499766759574,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
LRC→ORC combo,louvain,2,0.27916109484232443,0.4095532790011947,51,51,171,1,0.7637044159928337,0.7619074579561129,0.0017969580367207527,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
LRC→ORC combo,louvain,3,0.13709000490964665,0.3250514124224037,51,51,171,1,0.7639800829347223,0.7619074579561129,0.002072624978609383,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
