method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
LRC-only,louvain,4,0.19105550788887044,0.5416094390626758,465,465,1175,1,0.10316479101311415,0.08534370799316093,0.01782108301995322,1302,0,10.0,,,,-0.75,
ORC-only,louvain,4,0.5622640513620368,0.8007778978118039,4508,4508,12863,1,27.695053832954727,27.426095540984534,0.2689582919701934,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,4,0.4859577584412951,0.7891558657721917,4060,4060,11206,1,27.855603666976094,27.384671124978922,0.47093254199717194,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,4,0.18636257051909785,0.5375692904136935,465,465,1175,1,0.1000753749976866,0.08534370799316093,0.014731667004525661,1302,0,10.0,,,,-0.75,
ORC-only + Leiden,leiden,4,0.5620656798979731,0.8002148321480173,4508,4508,12863,1,27.569788248976693,27.426095540984534,0.14369270799215883,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,4,0.4575011527844246,0.7841170386649119,4060,4060,11206,1,27.508028624986764,27.384671124978922,0.12335750000784174,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
Plain Louvain,louvain,42,0.4501216586210445,0.7919927915618113,4508,4508,12863,1,0.2542035410297103,0.0,0.2542035410297103,0,0,,,,,,
Plain Leiden,leiden,42,0.4518191072412897,0.7953235631374043,4508,4508,12863,1,0.14110458397772163,0.0,0.14110458397772163,0,0,,,,,,
LRC-only,louvain,42,0.18196779480832845,0.5354779122795786,465,465,1175,1,0.10503058298490942,0.08534370799316093,0.019686874991748482,1302,0,10.0,,,,-0.75,
ORC-only,louvain,42,0.5731841880964843,0.7998135120704853,4508,4508,12863,1,27.67223670700332,27.426095540984534,0.24614116601878777,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.47449820018745215,0.7847749384896638,4060,4060,11206,1,27.610613458964508,27.384671124978922,0.22594233398558572,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,42,0.17380498599196792,0.5313923249576963,465,465,1175,1,0.0998044169973582,0.08534370799316093,0.01446070900419727,1302,0,10.0,,,,-0.75,
ORC-only + Leiden,leiden,42,0.5282039541773921,0.7937316895533038,4508,4508,12863,1,27.565982248983346,27.426095540984534,0.1398867079988122,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,42,0.43111096498951007,0.7755861365382528,4060,4060,11206,1,27.534933666989673,27.384671124978922,0.15026254201075062,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
