seed,lrc_pct,orc_pct,alpha,p_in,p_out,ARI,NMI,Runtime,Prep_time,Community_time,V,E,status
2,0,30,0.5,0.2841610899895061,0.006329092115718187,0.008731214082654528,0.04382642001000349,80.27407599892467,80.1980741659645,0.07600183296017349,227,7836,ok
3,0,30,0.5,0.2841610899895061,0.006329092115718187,0.03621070134095516,0.10797194144524291,80.26949645695277,80.1980741659645,0.07142229098826647,227,7836,ok
4,0,30,0.5,0.2841610899895061,0.006329092115718187,0.02637150353600975,0.09324851282354558,80.26128579094075,80.1980741659645,0.06321162497624755,227,7836,ok
42,0,30,0.5,0.2841610899895061,0.006329092115718187,0.03319540074087304,0.09357637500003925,80.26713991595898,80.1980741659645,0.06906574999447912,227,7836,ok
0,2,0,0.5,0.2841610899895061,0.006329092115718187,0.5940596326330392,0.7359525759788222,78.10694604099263,77.63763087498955,0.46931516600307077,1755,41276,ok
1,2,0,0.5,0.2841610899895061,0.006329092115718187,0.5940596326330392,0.7359525759788222,77.99401912500616,77.63763087498955,0.35638825001660734,1755,41276,ok
2,2,0,0.5,0.2841610899895061,0.006329092115718187,0.593150939453597,0.7357826589339903,77.98606099991594,77.63763087498955,0.3484301249263808,1755,41276,ok
3,2,0,0.5,0.2841610899895061,0.006329092115718187,0.5940596326330392,0.7359525759788222,78.03129149996676,77.63763087498955,0.3936606249772012,1755,41276,ok
4,2,0,0.5,0.2841610899895061,0.006329092115718187,0.5940596326330392,0.7359525759788222,78.20703912503086,77.63763087498955,0.569408250041306,1755,41276,ok
42,2,0,0.5,0.2841610899895061,0.006329092115718187,0.5861300902252569,0.7325664690096326,78.00032616604585,77.63763087498955,0.3626952910562977,1755,41276,ok
0,2,2,0.5,0.2841610899895061,0.006329092115718187,0.5836521062466661,0.7202800737606186,81.46020112500992,81.07485650002491,0.38534462498500943,1708,40312,ok
1,2,2,0.5,0.2841610899895061,0.006329092115718187,0.5836392980336645,0.7204922616582704,81.40772783302236,81.07485650002491,0.3328713329974562,1708,40312,ok
